mpisize,file,filesize,walltime,rate(MB/s)
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test201.nc,34359750521,2882.18320298,11.9214318109
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test16.nc,34359750521,2885.11563897,11.9093148492
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test188.nc,34359750521,2886.82708502,11.9022544507
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test94.nc,34359750521,2895.05887008,11.8684116845
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test21.nc,34359750521,2895.96588397,11.8646945087
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test144.nc,34359750521,2898.31425309,11.8550810991
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test206.nc,34359750521,2901.03705311,11.8439543832
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test206.nc,34359750521,2901.15977693,11.8434533645
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test215.nc,34359750521,2908.83787704,11.8121916633
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test53.nc,34359750521,2910.69873405,11.8046399372
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test37.nc,34359750521,2963.56151485,11.5940736674
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test255.nc,34359750521,2972.34812498,11.559800224
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test235.nc,34359750521,3014.81775093,11.3969577466
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test146.nc,34359750521,3044.9744699,11.2840849277
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test178.nc,34359750521,3047.45531893,11.2748988665
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test49.nc,34359750521,3063.14942002,11.2171317195
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test12.nc,34359750521,3081.52060604,11.1502582373
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test118.nc,34359750521,3121.37099981,11.0079034255
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test83.nc,34359750521,3140.9818151,10.9391752464
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test83.nc,34359750521,3140.99606991,10.939125601
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test83.nc,34359750521,3141.28138089,10.9381320406
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test61.nc,34359750521,3144.32262397,10.9275524907
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test60.nc,34359750521,3145.23514581,10.924382098
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test163.nc,34359750521,3149.41213512,10.9098933537
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test220.nc,34359750521,3167.12114692,10.8488904993
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test131.nc,34359750521,3180.7783668,10.802308919
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test119.nc,34359750521,3187.19026995,10.7805771262
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test103.nc,34359750521,3186.48109317,10.7829764296
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test240.nc,34359750521,3188.71767187,10.7754132089
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test105.nc,34359750521,3194.62928414,10.7554734728
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test227.nc,34359750521,3197.69815993,10.745151294
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test227.nc,34359750521,3197.70368195,10.7451327385
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test227.nc,34359750521,3197.53835893,10.7456882965
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test249.nc,34359750521,3197.66766,10.7452537832
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test246.nc,34359750521,3203.67194009,10.725115169
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test102.nc,34359750521,3207.04109812,10.7138478959
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test164.nc,34359750521,3207.49482203,10.7123323427
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test44.nc,34359750521,3210.51216102,10.7022645602
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test182.nc,34359750521,3211.78986406,10.6980070226
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test227.nc,34359750521,3212.56020784,10.6954417343
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test170.nc,34359750521,3220.72052312,10.6683427743
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test204.nc,34359750521,3223.03578901,10.6606791765
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test64.nc,34359750521,3232.5153451,10.6294160593
